2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,109831,Special Hospital Team 3,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,69,6.57
ACT,101,Canberra,93960,Tuggeranong CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,119,-11.01
ACT,101,Canberra,93960,Tuggeranong CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,292,11.01
ACT,101,Canberra,8836,Turner,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,610,-5.27
ACT,101,Canberra,8836,Turner,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,955,5.27
ACT,101,Canberra,8837,Watson,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,866,-2.41
ACT,101,Canberra,8837,Watson,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1213,2.41
ACT,101,Canberra,8838,Weetangera (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,421,-4.32
ACT,101,Canberra,8838,Weetangera (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1096,4.32
ACT,101,Canberra,93961,Woden CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,1243,-10.76
ACT,101,Canberra,93961,Woden CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,3977,10.76
ACT,101,Canberra,8840,Yarralumla,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,339,-8.01
